itemId,category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes,downVotes,helpful,relevanceScore,boughtDate,clientType,retrievedDate
100002528.0,beli-harddisk-eksternal,Kamal U.,5.0,,,bagus  mantap dah sesui pesanan,0.0,0.0,0.0,True,26.51,9-Apr-19,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,yofanca m.,4.0,,,"Bagus, sesuai foto",0.0,0.0,0.0,True,22.49,24-Sep-17,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,Lazada Customer,5.0,,ok mantaaapppp barang sesuai pesanan.. good,okkkkk mantaaaaaaapppp ... goood,0.0,0.0,0.0,True,21.5,4-Apr-18,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,Lazada Customer,4.0,,,bagus sesuai,0.0,0.0,0.0,True,20.51,22-Sep-17,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,Yosep M.,5.0,,,,0.0,0.0,0.0,True,16.01,17 Agu 2018,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,Deden,5.0,,,,0.0,0.0,0.0,True,16.01,2-Nov-17,androidApp,10/2/2019
100002528.0,beli-harddisk-eksternal,Yeana,5.0,,,,0.0,0.0,0.0,True,13.01,25-Sep-17,mobile,10/2/2019
100002528.0,beli-harddisk-eksternal,nurfarida,1.0,,ada pengirimn ntb bima,bima,4.0,4.0,0.0,True,7.22,,androidApp,10/2/2019
100003785.0,beli-harddisk-eksternal,Fadjar B.,1.0,,,baru 10 bulan layarnya dah bergaris,0.0,0.0,0.0,True,21.49,6-Apr-17,androidApp,10/2/2019
100003785.0,beli-harddisk-eksternal,agung p.,5.0,,Barang bagus sesuai specs,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",0.0,0.0,0.0,True,19.5,1-Mar-17,mobile,10/2/2019
100003785.0,beli-harddisk-eksternal,Hendra W.,5.0,,,,0.0,0.0,0.0,True,18.0,5-Jan-18,androidApp,10/2/2019
100004132.0,beli-harddisk-eksternal,Lazada Guest,1.0,,Ini cicil pake apa?,"Mau tanya ini cicilnya pake apa ya,cc bkn?",7.0,7.0,0.0,True,14.88,,androidApp,10/2/2019
100004132.0,beli-harddisk-eksternal,Yan M.,5.0,,Beli cash sesuai Harga di atas,Apakah TV. Tsb. Suda ada anti gores..,1.0,1.0,0.0,True,13.01,,mobile-app,10/2/2019
100004505.0,beli-harddisk-eksternal,Andry M.,1.0,,Pesanan tidak tepat waktu,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,1.0,1.0,0.0,True,31.51,18 Mei 2018,mobile,10/2/2019
100004505.0,beli-harddisk-eksternal,Leonard,4.0,,TV ok,Kualitas ok,1.0,1.0,0.0,True,22.88,2-Jun-17,desktop,10/2/2019
100004505.0,beli-harddisk-eksternal,Lazada Guest,1.0,,Cara mendapatkan garansi,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",14.0,14.0,0.0,True,22.67,,mobile-app,10/2/2019
100004505.0,beli-harddisk-eksternal,Bun D.,3.0,,,Pengiriman super lama.. tapi datang juga sich,0.0,0.0,0.0,True,22.49,22-Jul-18,iosApp,10/2/2019
100004505.0,beli-harddisk-eksternal,Fadoli,5.0,,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",ok barang sampai dengan Baik.. smoga terus di pertahankan...,0.0,0.0,0.0,True,21.51,18-Apr-18,desktop,10/2/2019
100004505.0,beli-harddisk-eksternal,Akun K.,5.0,,,,0.0,0.0,0.0,True,14.99,21 Agu 2018,androidApp,10/2/2019
